,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.6013945183691964,0.15387736199722535,0.25586758325382664,0.3539841939112881,-0.07420590592758446,-1.2659755033088005
1,0.5607289802569593,0.16678338222939515,0.2974402752519856,0.40027190118887646,-0.06342620913444293,-1.3173005256967933
2,0.5867783487685413,0.18443284141363314,0.3143143263562779,0.4262932958244118,-0.0738693837306912,-1.2746704829409004
3,0.4244911424127601,0.13361229844293643,0.31475874310003055,0.48716302585654514,-0.06063892236359781,-1.370503045027913
4,0.27861962428596887,0.08782802628392727,0.3152255570978108,0.5478359396536827,-0.04374400209682705,-1.6707350125365659
5,0.16647551547162176,0.05190594213402688,0.3117932507190526,0.6185883393372357,-0.031741552722819935,-2.0392599137873098
6,0.05067949561734083,0.01571183809701604,0.310023568814682,0.6612825640436779,-0.02144150413641203,-5.343729797501146
7,-0.04352929827907217,-0.013023479351766287,0.2991888191780859,0.6763899693303529,-0.011171346532900178,-2.1057367117259576
8,-0.03393678769730173,-0.009686765915262407,0.2854355574741857,0.6495321604141375,-0.01175271427060953,-2.5493771130683696
9,-0.11527475322735145,-0.028703442667075696,0.2490002525571677,0.6062933335188089,-0.0010413750368933365,-0.06719071528951369
