,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.2153714744077672,0.05492089720688331,0.2550054381988418,0.40585851451920174,-0.04281686626296291,-1.5927619270932716
1,0.21741632307388084,0.06174899921842414,0.28401271047823323,0.517117150536715,-0.03914349580850846,-1.6671235004455123
2,0.2968528639459983,0.09094931164280995,0.3063784207227824,0.5690857076495486,-0.04141927461460368,-1.6083233807870823
3,0.19727166393000253,0.05672300269687369,0.2875375082606927,0.5626071883483059,-0.034467835138689826,-1.8879740854965397
4,0.18761541620772232,0.053433706015111104,0.2848044531476607,0.5546419784899633,-0.03535601063858404,-1.8554183720442632
5,0.1961776118235665,0.05782655365131206,0.29476632483077997,0.517376053783763,-0.034905889536869995,-1.833590501984487
6,0.26154426276184267,0.07939568810586195,0.3035650152194628,0.4950395487089261,-0.036877302286771725,-1.754739366837048
7,0.20342879467872926,0.060755890328338946,0.2986592454833615,0.5432267741801824,-0.03580224748217575,-1.7941305005696613
8,0.2910168725252301,0.09736874036063381,0.3345810829308266,0.5782822776562566,-0.04737190910913944,-1.714088656459034
9,0.3092636327026938,0.09716376829640638,0.3141778017909186,0.5353319354464197,-0.0439056133697768,-1.6482314293077285
