,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.21989164669269323,0.05619373368513547,0.25555192537017246,0.40585851451920174,-0.043494043500287495,-1.5792208561167904
1,0.21872733459084814,0.062261268731265806,0.2846524365495144,0.5053561172330756,-0.039135615523165204,-1.668058425425116
2,0.5256278002456078,0.16530583944693267,0.31449219270687534,0.3792523554173728,-0.06193415051036041,-1.345254709824668
3,0.32930929593915326,0.10129066526312869,0.30758519881517177,0.4733225723110125,-0.043595637159197856,-1.6150511779820846
4,0.2529282310071261,0.08044724667463599,0.31806353270374726,0.5226987629227511,-0.03823852833546574,-1.7731088395836632
5,0.16318338963025164,0.05133900929713486,0.3146092835395878,0.5887596732468967,-0.03132198714874311,-2.183680959450756
6,0.1532389846230131,0.047472763389964756,0.3097956013396567,0.6546673060024715,-0.03032114086901102,-2.190670247144773
7,0.09052737974203992,0.027355556945600545,0.30217992637753244,0.6654064500222074,-0.02456270045841096,-2.968076506432791
8,0.16552915554446287,0.049332976245095805,0.2980319453864697,0.640145805120077,-0.033852205357537114,-1.9104717332388264
9,0.2620402647620639,0.07071703304131272,0.26987086547758127,0.5636852959821292,-0.045778269361938885,-1.5290165441488528
