,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.24825779535135856,0.05632188486769252,0.22686854520713162,0.36646885220555103,-0.03807025050096807,-1.7525776358282352
1,0.12813152968677607,0.031739959144004626,0.24771388604814557,0.569654015598597,-0.027127145511018236,-2.519415931016811
2,0.3250628666631076,0.08738233622012004,0.2688167280290503,0.44047780200524367,-0.04902620903123568,-1.5145508571979656
3,0.30433975142846076,0.08991086319744235,0.29542924568819307,0.47715430972301154,-0.03911206751254485,-1.7327495674944917
4,0.18683291423957354,0.05777438614354624,0.3092302358965662,0.5249406687109135,-0.031593585503645535,-2.159621012460863
5,0.005780375696844667,0.0017785260735312391,0.30768347367145754,0.5880313411949132,-0.015226084933719191,-7.6838087740205925
6,0.06365969991107608,0.019390295748850983,0.30459294932173075,0.6561891102776052,-0.02107794493088841,-4.7978234715130545
7,0.03750687816420668,0.011094886992374375,0.2958093964472462,0.6684973143558606,-0.018592363488689607,-8.597089156831375
8,0.040875865506289334,0.011926340415316261,0.29176973423305796,0.6487365293124983,-0.019785829406838134,-5.46103073488391
9,0.20119353014726268,0.04702856309953041,0.23374788973138483,0.4771315284290958,-0.03588565938665186,-1.784426018086074
