,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.21717090641801307,0.05530482060314812,0.25466035720593605,0.40585851451920174,-0.04296470031721185,-1.5874866415295281
1,0.22193454828723858,0.06311929042758235,0.28440497847090607,0.5094431892534153,-0.03975146423746849,-1.65202863837954
2,0.2887125073098518,0.08871071668240105,0.3072631577654341,0.5926438214831076,-0.043478643295187344,-1.5730279003994911
3,0.1705388889403772,0.04865067015254576,0.285276105965219,0.5848838474642398,-0.03328086506911496,-2.005911512880994
4,0.23145285788501868,0.06647730140591701,0.2872174576428935,0.49659802153990906,-0.04160317900534755,-1.657593692509345
5,0.19738064057356616,0.0582054682034463,0.2948894482980078,0.5289640676610838,-0.034105015849076006,-1.8611975733440542
6,0.24179471815830259,0.07349460154286458,0.3039545367353632,0.5123042473329169,-0.035985454257079504,-1.8026678743475946
7,0.22432080983298675,0.06746505740501263,0.3007525581565183,0.5343279868445151,-0.038400480157051144,-1.7227055035069894
8,0.290371725069877,0.09615425293335456,0.33114192819640187,0.5649252807614735,-0.047448385548618105,-1.6917947836745126
9,0.3005844651152734,0.09344927629784472,0.31089190275354767,0.541094004574398,-0.04373545394806611,-1.655057831356783
