,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.4671163186228585,0.12252816055392368,0.26230760020364596,0.31857901734672667,-0.06036077052631464,-1.353842225304453
1,0.3433108216619092,0.10413820643734795,0.30333505344583267,0.4689324838644604,-0.05682068665566324,-1.4014046973862169
2,0.5437476767904887,0.16310954566392666,0.2999728598873156,0.44541469718188054,-0.06504895767210454,-1.3160980648439318
3,0.3939493121778062,0.10518142111806772,0.2669922699867409,0.3228592247667321,-0.05588456352816178,-1.6518185729574206
4,0.38644607947628595,0.1017107359514795,0.2631951554258708,0.38564625978374667,-0.051171312944625784,-1.5384795528554416
5,0.27371273102723387,0.12553574398489986,0.45864050062183376,0.38745960151306413,-0.0481042377778087,-1.7538851449489419
6,0.43252621801757823,0.12363112996552728,0.28583499638975135,0.3779096153942608,-0.052395331081986275,-1.4246335213652157
7,0.4005196790102164,0.12068549677674545,0.3013222648010437,0.41991761348648615,-0.052585833339914734,-1.4244495238034403
8,0.5047547685848345,0.16846100970505296,0.33374822822845623,0.4203112774261979,-0.06553275586859396,-1.4475963853537086
9,0.46808514747299507,0.19097687572345245,0.4079960168667184,0.36468293303679045,-0.0718850131837389,-1.3735602459360712
