,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.15109715297435794,0.04091567436833454,0.27079050506847185,0.43533367462897754,-0.035258046475223785,-1.8111261286981941
1,0.12667309835650578,0.0425988494384697,0.3362896304831868,0.5733402917158689,-0.032556709928391374,-1.9352878613893498
2,0.2035864833371356,0.06913246879152046,0.33957297978883166,0.613338211700349,-0.03911567516884742,-1.804839571674747
3,0.0011259122610917023,0.00037872360486645995,0.3363704419554358,0.633825629695064,-0.016594171730777842,-10.423515117894707
4,0.08997530874100963,0.027184317233402755,0.3021308580518655,0.6149846336849284,-0.02644267659561004,-2.506839315310475
5,0.07334619647102869,0.026369613870496966,0.35952258111861063,0.6044696440024222,-0.023639312320344955,-3.157459509474078
6,0.05704382122286937,0.018458287197721912,0.32358083315641945,0.6134313313577378,-0.0204117871701394,-4.9998341728913545
7,0.08983691118669612,0.028806913463857553,0.3206578797437945,0.6110379658396753,-0.02575424396800716,-2.724990093692143
8,0.19334581232073494,0.06564306238424455,0.339511167044836,0.6172490498776597,-0.03776264614585658,-2.1485998046916177
9,0.21859381127506217,0.07011477022451618,0.32075368380987224,0.5839825036420954,-0.03926212583224348,-1.9352359371604855
