,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.14747852214815327,0.039941783010597254,0.2708311856452747,0.4395291936731359,-0.035099122081707415,-1.8281616200446065
1,0.10838875177008789,0.03663473483242452,0.33799388067622926,0.576466342796554,-0.030528302046485892,-2.074536962151063
2,-0.1416365034910563,-0.048533292281975005,0.342660903691679,0.8285645902753196,-9.288701993377918e-05,-0.005725190622274186
3,-0.18276173400198262,-0.06591625677648394,0.36066771382114854,0.7739788393782747,0.006441295972680797,0.25896614101549054
4,-0.02170990077913722,-0.007145496040912747,0.32913536149273537,0.690390261791211,-0.013699502877617892,-4.796438209995396
5,0.07884118379870132,0.029269186407939074,0.37124235073219686,0.5852082484698544,-0.024473049949567328,-3.2291880149078835
6,0.1427168012502277,0.046922440487365824,0.32878007407898624,0.5744227192651123,-0.030713188581309038,-2.3167971649825363
7,0.23616033094157723,0.07676859350338638,0.3250698082836692,0.5090977280106646,-0.040026281410582946,-1.8305882406996832
8,0.3606700285440571,0.11131795112265475,0.3086420892027541,0.47899976022291335,-0.04720097413417693,-1.588707612576852
9,0.6487961873575245,0.18270439590028076,0.28160522435314495,0.4126949758562447,-0.07360689974184939,-1.2590951172731988
