,Sharp,RetYearly,STD,MDD,R2VaR,R2CVaR
0,0.1546401864449919,0.04185093346162816,0.27063426670476265,0.4317751996092821,-0.03594593506246655,-1.7898400963524876
1,0.12777813262154647,0.04302687100676872,0.33673109885089486,0.5737243154384568,-0.0328646638161985,-1.92497939879787
2,0.23272672563869098,0.07775025214082087,0.33408390002241684,0.601143432725996,-0.039614745369871765,-1.663744033540026
3,-0.009586854618908165,-0.0033074452396238962,0.34499795512707765,0.6537998542836334,-0.014909107870551835,-3.4890179033115136
4,0.05377491536967935,0.015969506272495382,0.2969694357064426,0.6085536743403033,-0.023535190909432412,-3.215595137703594
5,0.08012347533489113,0.028815710293557117,0.3596412933053196,0.6043173217607567,-0.024240018224668293,-2.9175172336105635
6,0.0680653313027825,0.021919812080658074,0.3220407755476832,0.6034449313925887,-0.02159038060082522,-3.976650403773103
7,0.08554754390933249,0.02736213043449509,0.3198470602907645,0.6126983427114918,-0.024877565084693985,-2.821495808450236
8,0.18624048294915396,0.0636867897461304,0.34195996884048946,0.626716474100196,-0.03790096024457171,-2.2303135170729647
9,0.22245951319606133,0.07220593626905747,0.32458012350957477,0.5817635077011625,-0.03884539963707915,-1.9384893243542045
